task_lang,transfer_lang,bleu
ca,et,4.101126067352202
da,et,3.96548985868805
es,et,3.9517995616482287
kk,et,3.93391987265053
se,et,3.8214845833511744
nl,et,3.762024988563757
an,et,3.51589965284333
hu,et,3.4298009747153597
be,et,3.367408937920389
sl,et,3.2748855283453877
sv,et,3.2527463351431014
pl,et,3.1432220014694843
gl,et,2.957813971593671
tr,et,2.810519406214297
el,et,2.736921071289491
vi,et,2.694142175774619
km,et,2.6475546324441317
hr,et,2.6327685237865595
xh,et,2.588867658587167
rw,et,2.581561286933607
gu,et,2.5514017834769755
ne,et,2.489520482451812
bs,et,2.3305689523831497
no,et,2.2360909020678164
eu,et,2.1834524515336584
or,et,2.098658583284385
eo,et,1.9717227948261808
sr,et,1.8712495290720503
ku,et,1.816716185284158
as,et,1.740745080595446
mk,et,1.4503506621479956
my,et,1.4317610525889626
ta,et,1.393063824159187
pa,et,1.284657910926071
ps,et,1.271657280672918
uk,et,1.240549718881336
kn,et,1.143997782014092
ar,et,0.9949596901352572
he,et,0.9839030473653236
bg,et,0.913973918026812
ko,et,0.8690988822536074
te,et,0.8686387947491323
uz,et,0.8635479230415359
hi,et,0.8355628170718652
ml,et,0.8322830057189566
th,et,0.7992311432376956
is,et,0.7882856245717674
bn,et,0.6991745005156342
yi,et,0.6713422085935111
si,et,0.6240384153621198
ja,et,0.5905933618330923
mn,et,0.5458932736862153
hy,et,0.5186113250800694
mr,et,0.4706720381526069
tg,et,0.4217226461015254
fa,et,0.3561449036121721
ur,et,0.2865486554218698
az,et,0.2457435778474643
am,et,0.2039388275545539
ha,et,0.1541894029971991
tt,et,0.1175760741663344
ka,et,0.1075827878555701
ug,et,0.0277333582108334
gd,eu,55.60868143675432
eu,eu,21.77840491506787
ig,eu,19.09255284005284
tk,eu,13.854112357127349
ky,eu,13.833730688245268
de,eu,12.901188212240738
fy,eu,10.677760574650277
ru,eu,10.378129226365758
gu,eu,10.005221921759375
yo,eu,9.89365208916736
cy,eu,9.166289028449436
af,eu,8.399047660111803
wa,eu,8.273653984923572
et,eu,8.019724585864221
oc,eu,7.864752221381627
dz,eu,7.809720577263829
be,eu,7.707688755012787
mt,eu,7.656339879806643
nb,eu,7.470419123115777
cs,eu,7.400094237589282
nn,eu,7.014258262141619
km,eu,6.934799721453172
li,eu,6.909137338884407
zu,eu,6.782645229474836
ro,eu,6.477990864761017
it,eu,6.0357558819026345
ne,eu,5.683867004341663
kn,eu,5.653627813181488
br,eu,5.492112285827024
fr,eu,5.4738757489395145
zh,eu,5.434878442249127
ga,eu,5.335508731401196
sh,eu,5.156429601574346
se,eu,5.0480119717962975
es,eu,4.8651794087898415
nl,eu,4.839783071023789
sq,eu,4.734339679247302
an,eu,4.682583360465231
lv,eu,4.672665007444147
ps,eu,4.52882890890135
as,eu,4.429544071009622
sk,eu,4.428648443642152
kk,eu,4.300159334667311
mn,eu,4.023545655397141
lt,eu,3.9574498672387137
pa,eu,3.90207666337004
ta,eu,3.865595069870652
ms,eu,3.646984573130655
my,eu,3.611459621223695
pt,eu,3.581658296757384
gl,eu,3.4006495738278755
id,eu,3.380725139596334
mk,eu,3.35794293329976
ca,eu,3.3100007795822632
uk,eu,3.248285672974903
te,eu,3.1169294396383718
sv,eu,3.088004990015197
pl,eu,2.9955028907291354
fi,eu,2.961166849009738
th,eu,2.851348229255509
da,eu,2.8374940242375284
sl,eu,2.7452924204353595
hi,eu,2.583391925569412
mg,eu,2.5567256160799343
ja,eu,2.5435291324113747
rw,eu,2.4604360763265927
bg,eu,2.4166282748576253
el,eu,2.2295217913352583
or,eu,2.1869141522761426
hr,eu,2.168556665792445
ml,eu,2.152271969620249
ko,eu,2.1451481535602177
vi,eu,2.103837264694888
ku,eu,2.094491908513454
yi,eu,2.0199350043672104
eo,eu,1.985862278320523
sr,eu,1.964390928913968
si,eu,1.962415947125021
bn,eu,1.9025438103048151
ar,eu,1.746467817759929
hu,eu,1.636398234309229
hy,eu,1.5462471718173054
bs,eu,1.474434813763708
no,eu,1.3918460820318084
tr,eu,1.2659688998481016
xh,eu,1.2625606163955854
he,eu,1.234661122277525
ur,eu,0.820620025491933
fa,eu,0.7970699510587637
uz,eu,0.7850312964377755
tg,eu,0.64909734454127
mr,eu,0.5289541120548683
is,eu,0.4598455261664904
am,eu,0.3182068319829452
az,eu,0.2619995551076697
ka,eu,0.2319314420825261
ha,eu,0.1331176421454949
tt,eu,0.0666268340041751
ug,eu,0.061052360517414
gd,fa,49.78387380676961
fa,fa,22.804955974425337
ru,fa,12.592968067639983
el,fa,10.966715338630872
he,fa,10.903804334386018
tk,fa,10.309386526317306
de,fa,9.927363320820351
ig,fa,9.794396262563982
uk,fa,9.78860605884425
gu,fa,9.769954449262324
be,fa,9.203839758231672
zu,fa,8.274415133059136
km,fa,8.00676925107922
et,fa,7.862014155047645
mk,fa,7.418540991271446
nb,fa,7.388695165033805
kk,fa,7.284469000890939
mt,fa,7.038250975657496
li,fa,6.869265780665186
ro,fa,6.647931980871352
zh,fa,6.639982724361273
id,fa,6.431832346548582
th,fa,6.073185663401424
ms,fa,5.984304685664951
cs,fa,5.957279141322184
nl,fa,5.649036537119694
bg,fa,5.52910806535443
ky,fa,5.376676479726304
af,fa,5.36902675812505
nn,fa,5.240223982076542
fr,fa,4.988950914265955
lv,fa,4.986876319125767
sq,fa,4.948974029160105
yo,fa,4.900169872173401
ko,fa,4.896731534559063
ar,fa,4.8888476741068825
sh,fa,4.856446598517633
te,fa,4.820098469355391
hi,fa,4.781731702079177
ml,fa,4.717894209064156
it,fa,4.656854028975673
da,fa,4.519736355842153
mg,fa,4.502215785266206
cy,fa,4.454150285866121
as,fa,4.410206130137541
pa,fa,4.371711867580797
es,fa,4.3350938672863695
ca,fa,4.312329889369354
pt,fa,4.256559170764807
kn,fa,4.156448973666376
si,fa,4.107620737818415
ta,fa,3.9548643151793192
sk,fa,3.930360752900459
ja,fa,3.692293390731233
vi,fa,3.686305458481587
lt,fa,3.673261406815116
fy,fa,3.578057961804991
ga,fa,3.497541261748705
br,fa,3.43532083152764
sv,fa,3.4119807523710755
oc,fa,3.398133798863402
hu,fa,3.2812789710356025
mr,fa,3.257520871515632
tg,fa,3.250498038240888
bn,fa,3.133632584324172
hy,fa,3.110996590702769
ur,fa,3.0739593285030016
my,fa,3.0702395985951045
pl,fa,2.9729394268546727
ne,fa,2.917828800910966
gl,fa,2.8539253035682
tr,fa,2.6433686212833685
hr,fa,2.5428330860810697
or,fa,2.434483442202024
no,fa,2.29489162014928
fi,fa,2.164034759143971
sl,fa,2.130380430646263
bs,fa,2.1205873893242746
rw,fa,2.115669794412471
an,fa,1.9233501244822904
eu,fa,1.851678866443012
uz,fa,1.7931629057773668
wa,fa,1.631420084975866
sr,fa,1.579940010224688
mn,fa,1.5624257656233211
eo,fa,1.4433443884180095
se,fa,1.3385029581289554
ku,fa,1.2270640055699813
is,fa,1.1644362455377613
xh,fa,1.1598933416866093
ps,fa,1.149374506655735
am,fa,0.8107315527805599
dz,fa,0.7049021046354728
yi,fa,0.5034996219760229
tt,fa,0.3691741217555937
az,fa,0.3511905733564588
ka,fa,0.1471456406625574
ug,fa,0.1074096775757052
ha,fa,0.0876943702962691
gd,fi,59.01060869586821
fi,fi,24.20829056348863
tk,fi,19.026390760760496
ig,fi,17.040429903195054
et,fi,13.59006000853122
de,fi,13.10149414044344
li,fi,10.154542145434798
yo,fi,9.85969947079534
mt,fi,9.050504157102246
nb,fi,8.543653294154865
cs,fi,8.333239375264235
ro,fi,8.236285496613105
cy,fi,8.191790239087835
ru,fi,7.885326505885591
dz,fi,7.615885580083139
zu,fi,7.547203344526535
ky,fi,7.465221539503418
be,fi,7.4297807847346435
af,fi,7.158655143165179
nn,fi,6.80340154461263
zh,fi,6.691012721286872
fy,fi,6.646302494135806
hu,fi,6.318689496658622
it,fi,6.083620479517606
lv,fi,6.078727094928204
sh,fi,6.041913441179917
fr,fi,5.954290660590005
gu,fi,5.89383088308413
as,fi,5.539795596804008
lt,fi,5.495786376258573
sq,fi,5.318224103207561
ga,fi,5.304806734006086
br,fi,5.25097800163714
wa,fi,5.182327205077372
vi,fi,5.07312200716514
kk,fi,5.072459863821667
sk,fi,4.971521437335685
ms,fi,4.741945834763364
id,fi,4.725381740409884
el,fi,4.70713563685739
mg,fi,4.668957272575538
oc,fi,4.522342859763884
pt,fi,4.494515637158051
or,fi,4.320270307963981
da,fi,4.253721000735798
nl,fi,4.171885370418475
ca,fi,4.153995089622704
es,fi,4.008189934083748
se,fi,3.893891954223347
sv,fi,3.7230285961559297
ne,fi,3.661999787603306
pl,fi,3.46574283285719
an,fi,3.4273027643025813
bg,fi,3.359170003984707
sl,fi,3.33773529436163
ps,fi,3.325573057965809
km,fi,3.212290569515209
uk,fi,3.187947716589441
pa,fi,2.986306715896398
gl,fi,2.975187052156299
tr,fi,2.839272446077505
mk,fi,2.825992917196577
he,fi,2.793942535071792
hr,fi,2.676715882991362
yi,fi,2.6707457406947555
xh,fi,2.6672398452631625
rw,fi,2.5346279856976928
ta,fi,2.45808663092437
no,fi,2.397152655164024
ku,fi,2.37755950487977
mn,fi,2.3627591839731417
eu,fi,2.3503889065163337
ar,fi,2.31750694813102
bs,fi,2.312143332887625
my,fi,2.2922140931219155
kn,fi,2.021430391566475
hy,fi,2.0141111146705737
te,fi,2.009149618844368
eo,fi,1.9666370785737608
bn,fi,1.929767191815378
sr,fi,1.8840580627877692
ml,fi,1.865650859630675
hi,fi,1.5408595409252066
si,fi,1.4699213185158655
mr,fi,1.438105876217375
th,fi,1.4047551521943442
is,fi,1.369490148018773
uz,fi,1.2019413155939105
ko,fi,1.0937071630105208
fa,fi,0.8546525638987921
ja,fi,0.8065625796664057
tg,fi,0.795511267160639
az,fi,0.5196297858765617
ur,fi,0.3680827045795712
am,fi,0.3062755506569534
ha,fi,0.1484089559258084
tt,fi,0.1432289487360247
ug,fi,0.1170941623205649
ka,fi,0.1089832625910836
gd,fr,59.7093
fr,fr,33.4793
tk,fr,17.01
de,fr,14.3482
ig,fr,13.2382
zu,fr,12.8166
yo,fr,10.6675
li,fr,10.3917
et,fr,9.6682
fy,fr,9.1479
mt,fr,8.9729
ro,fr,8.8916
cy,fr,8.7747
cs,fr,8.2409
af,fr,8.2216
dz,fr,8.1071
ru,fr,7.7896
nb,fr,7.2932
it,fr,6.9589
nn,fr,6.7844
oc,fr,6.6401
ca,fr,6.6012
ky,fr,6.1686
es,fr,6.0792
sh,fr,5.7806
br,fr,5.7286
lv,fr,5.7119
el,fr,5.6845
sq,fr,5.4876
he,fr,5.3337
kk,fr,5.3322
mg,fr,5.3139
lt,fr,5.1433
pt,fr,5.1077
ga,fr,5.1031
an,fr,5.086
wa,fr,5.0324
sk,fr,4.8074
id,fr,4.7259
nl,fr,4.606
ms,fr,4.4594
be,fr,4.4527
vi,fr,4.4296
km,fr,4.1377
da,fr,3.8516
hu,fr,3.8078
gl,fr,3.8044
se,fr,3.7332
ne,fr,3.525
uk,fr,3.348
gu,fr,3.3469
sl,fr,3.3314
sv,fr,3.0459
pl,fr,2.9845
rw,fr,2.8665
hr,fr,2.8437
zh,fr,2.6794
xh,fr,2.6513
tr,fr,2.6063
fi,fr,2.5807
as,fr,2.5399
or,fr,2.5393
eu,fr,2.4129
ku,fr,2.2778
bs,fr,2.2479
no,fr,2.1618
eo,fr,2.1436
mk,fr,2.0321
ta,fr,1.9708
sr,fr,1.9693
yi,fr,1.9441
ar,fr,1.8789
th,fr,1.775
ps,fr,1.7668
bg,fr,1.7408
my,fr,1.636
mr,fr,1.3861
ja,fr,1.3529
hy,fr,1.3483
hi,fr,1.3442
uz,fr,1.311
kn,fr,1.2121
te,fr,1.1177
bn,fr,1.0609
ml,fr,1.0028
pa,fr,0.9686
ko,fr,0.8738
fa,fr,0.8471
is,fr,0.8277
si,fr,0.7362
mn,fr,0.7088
tg,fr,0.591
az,fr,0.3179
ur,fr,0.2993
am,fr,0.2459
ha,fr,0.1501
ka,fr,0.0935
ug,fr,0.0845
tt,fr,0.0521
gd,he,49.21274791753321
he,he,35.66658085899779
ru,he,11.804802016828956
el,he,10.931494276649946
uk,he,10.584497543445195
zu,he,10.149957045375425
de,he,9.248062159694207
mk,he,8.77872364460475
bg,he,8.650303960379743
nb,he,8.14553135293108
ro,he,8.126582447395094
ig,he,6.941652076990528
mt,he,6.761557369059221
id,he,6.711437853989296
be,he,6.350269694275563
ar,he,6.231153288710508
af,he,6.075189085721216
ms,he,5.982003353130499
fy,he,5.928966545070022
th,he,5.71662441366608
cy,he,5.586168760663797
nl,he,5.5845527721013015
cs,he,5.578370986688852
sq,he,5.572306112293727
tk,he,5.561747726805298
zh,he,5.549066233953145
it,he,5.426429974671592
lv,he,5.367272741783524
pt,he,5.269202933186807
nn,he,5.128565797048953
fr,he,5.034464702236997
li,he,5.017924182022078
da,he,4.921213232670808
sk,he,4.909758184435306
oc,he,4.9072924005394905
es,he,4.889104768364248
lt,he,4.78260336861056
et,he,4.700850895210455
km,he,4.355064698513697
sh,he,4.210437587079646
hu,he,4.123060750899352
sv,he,4.097272407886334
br,he,4.042184960349065
vi,he,4.016962960963478
kk,he,4.0144338372091655
mg,he,3.853409221496245
gu,he,3.8116995232817614
an,he,3.610251464541837
te,he,3.573178872629406
pl,he,3.469232630422691
ca,he,3.457565063271746
gl,he,3.253579061312765
si,he,2.979523989756356
sl,he,2.936033890634111
hy,he,2.88974778165868
no,he,2.8460158281339822
se,he,2.7943057397369766
ga,he,2.773103421681385
wa,he,2.7298431680291344
ml,he,2.6717633293073195
hi,he,2.577714278329188
ky,he,2.542085787833664
ko,he,2.5203844222085285
bn,he,2.514533290460484
hr,he,2.5118313681110376
tr,he,2.436230066234299
fi,he,2.425445150797098
ta,he,2.189423387394625
sr,he,2.165499769130012
bs,he,2.0516480929627003
kn,he,2.033142333166623
eu,he,1.918945265803504
yo,he,1.8888610621648063
eo,he,1.6795187750373788
as,he,1.6783201936836174
mr,he,1.6552347350327703
fa,he,1.6129668335915537
ne,he,1.585425759046743
xh,he,1.4882683952685007
ja,he,1.4230850302678637
or,he,1.4165592700730678
ku,he,1.4024643516793578
rw,he,1.375086681822075
my,he,1.339824732248009
is,he,1.2116214056970394
pa,he,1.167536332521409
ps,he,0.9735791901564
mn,he,0.8880795131072329
ur,he,0.842579186572686
yi,he,0.6409814605437788
dz,he,0.6346913771417945
am,he,0.6053399002275759
uz,he,0.6032032030417961
tg,he,0.5101995753033857
ka,he,0.4603930317089136
az,he,0.3209808230047158
tt,he,0.1562503117868212
ha,he,0.1333870016279782
ug,he,0.1066261132112979
gd,hr,38.6841164727292
hr,hr,29.496042970817395
bs,hr,29.056266699014703
sr,hr,28.33296187091787
sh,hr,19.923513779841677
mk,hr,18.635308494689006
ru,hr,14.761528103718538
bg,hr,14.478977848188082
sk,hr,12.793568683641931
sl,hr,12.141719865861418
cs,hr,11.553865510489029
uk,hr,11.300402451289251
pl,hr,9.629212867797932
de,hr,8.938034093999732
el,hr,8.460525630031318
nb,hr,8.208649492069277
sq,hr,7.944916278943987
ro,hr,7.5205591358598385
mt,hr,6.933640059581586
lv,hr,6.540020553631587
ig,hr,6.512904896943108
tk,hr,6.460977011314184
af,hr,5.813322713257087
lt,hr,5.807724821068956
zh,hr,5.680363489128964
da,hr,5.488247719013019
et,hr,5.451220603073571
nl,hr,5.263436947198165
id,hr,5.1582240489689415
ms,hr,5.017649887006611
he,hr,4.856180485900334
zu,hr,4.8277251878994205
pt,hr,4.743115637961813
it,hr,4.700049600629874
hu,hr,4.507486490366253
cy,hr,4.494487059472597
be,hr,4.4645203941311005
fr,hr,4.344767753828498
fy,hr,4.263116495270973
sv,hr,4.090410377721058
es,hr,4.074607101482321
nn,hr,3.919881984080109
mg,hr,3.703315098078347
li,hr,3.563299267782287
gl,hr,3.2969531572287187
ca,hr,3.286195985333385
ga,hr,3.2513678185968056
ky,hr,3.1885573654905928
no,hr,3.158373868078009
br,hr,3.131235247369528
tr,hr,2.978165718487931
fi,hr,2.6953375665839947
vi,hr,2.49578424135438
an,hr,2.34051091363164
kk,hr,2.2171730936900973
eo,hr,1.9938271506796608
hy,hr,1.886986222041109
gu,hr,1.7129188100812347
ml,hr,1.6879478429066843
km,hr,1.6607944370299332
eu,hr,1.5615859546218802
yo,hr,1.5589890245924631
wa,hr,1.5349636191581904
te,hr,1.5325365763911665
th,hr,1.5318559602481965
as,hr,1.4951090011620525
ar,hr,1.4835536929555255
bn,hr,1.4088400417607707
si,hr,1.2942804960193453
ta,hr,1.2545681526056365
rw,hr,1.249234053113769
hi,hr,1.1948488163748854
ku,hr,1.0764298230784584
oc,hr,1.0250067636010072
my,hr,0.997057857123886
xh,hr,0.981360842996444
ko,hr,0.9769643750533402
ne,hr,0.8834937202950094
or,hr,0.7537964212538797
kn,hr,0.7531705698239672
mn,hr,0.7318141554556328
uz,hr,0.7306175239333756
ps,hr,0.7107404024264361
is,hr,0.7077131394563054
mr,hr,0.6704882731236028
ur,hr,0.6462776081972468
se,hr,0.6062129843513354
dz,hr,0.6040585434387623
ja,hr,0.5115103914907893
fa,hr,0.5097095361684348
az,hr,0.4170888531691851
pa,hr,0.3938792429957243
am,hr,0.2569344331714399
tg,hr,0.2466638573704339
yi,hr,0.2258058306201579
ha,hr,0.1649089894352908
tt,hr,0.1158749527561852
ka,hr,0.1053238649934469
ug,hr,0.0457672867936953
gd,hu,56.64467109450981
hu,hu,27.077255290240025
tk,hu,13.690237776676758
de,hu,12.679139759113784
ig,hu,12.665671879830988
zu,hu,9.561095471093628
mt,hu,8.875363914895267
ro,hu,8.022986099691163
cy,hu,7.934032575353823
et,hu,7.836605502228283
li,hu,7.789362411081469
cs,hu,7.358543315749603
nb,hu,7.303886497103848
af,hu,7.026165388231511
ru,hu,6.773308223580028
zh,hu,6.7306648399866535
fy,hu,6.66504541558198
lv,hu,6.595024545878861
be,hu,6.446256641609027
sh,hu,6.440317702911763
it,hu,6.089474511905279
nn,hu,6.006181792118322
dz,hu,5.682140798835433
fr,hu,5.658529257451415
kk,hu,5.456405021915148
lt,hu,5.38618685466217
ga,hu,5.200793398864937
sk,hu,5.113314578398349
sq,hu,5.091726498415466
mg,hu,4.9743048204170295
br,hu,4.843995669717428
ky,hu,4.673054873869702
ms,hu,4.627000899917462
vi,hu,4.584155432053744
el,hu,4.580384210640574
id,hu,4.558411978213901
pt,hu,4.504763008656262
oc,hu,4.381083713911017
ca,hu,4.122914590743831
nl,hu,4.00377511744704
es,hu,3.937730512059755
da,hu,3.752702506419295
pl,hu,3.566202473440778
ne,hu,3.434403051852555
sv,hu,3.41076340671116
sl,hu,3.371948200027562
wa,hu,3.3395335972500986
tr,hu,3.3037230792413275
an,hu,3.1324584863233538
gl,hu,2.972894163613004
hr,hu,2.9495682712716897
bg,hu,2.925057292223066
bn,hu,2.814106557845122
mk,hu,2.78307577713342
he,hu,2.694018271599581
fi,hu,2.6931407488036974
rw,hu,2.648638720812014
gu,hu,2.6135665409350164
yo,hu,2.6006066245641013
as,hu,2.577086008218856
mn,hu,2.536911733214496
ta,hu,2.501164222693273
xh,hu,2.4219124022460083
ml,hu,2.3886184613200383
yi,hu,2.332929836532036
bs,hu,2.2993589813287607
no,hu,2.2577114561200307
ku,hu,2.2546095916211426
uk,hu,2.179207492688008
hy,hu,2.1341518335652467
sr,hu,2.0893895557890967
eu,hu,2.0550314750339185
km,hu,2.022150491452272
te,hu,1.869664481130136
or,hu,1.8147945810253652
kn,hu,1.8049356264293648
eo,hu,1.746985772302306
se,hu,1.6237699533444467
ar,hu,1.5793358318121409
ps,hu,1.5047503641075546
si,hu,1.4378973747835972
ko,hu,1.356302343945244
uz,hu,1.3481144716837978
mr,hu,1.2931048574895634
my,hu,1.2415701633582727
hi,hu,1.1621873317132017
th,hu,0.9877245043823084
pa,hu,0.9178349256224916
is,hu,0.8603241361034436
tg,hu,0.7788757550149182
ja,hu,0.7616603475183652
fa,hu,0.5209268553320047
az,hu,0.4495618785557858
ur,hu,0.369176784284755
am,hu,0.2755662041052628
tt,hu,0.232215586548662
ha,hu,0.1467615499654217
ka,hu,0.1051626309718139
ug,hu,0.1042955123541972
gd,id,54.3089721851763
id,id,34.258822278716146
ms,id,26.141776116071338
tk,id,15.794791111763054
ig,id,14.37481830711171
de,id,12.163717210142597
li,id,11.675800482703488
ru,id,11.151949011160392
ky,id,10.19215245752353
fy,id,9.243188899467368
zu,id,9.210374730941682
nb,id,9.157481522430093
af,id,8.196999963415461
et,id,7.96564594390512
nn,id,7.4871133852716385
ro,id,7.468533603250192
mt,id,7.373202083309919
cs,id,7.083603672928164
cy,id,6.8382259664808736
wa,id,6.331553657552459
el,id,6.32260794542995
he,id,6.228922013990496
zh,id,6.151438459571793
sq,id,5.719529526120577
oc,id,5.571037451951477
dz,id,5.509672036290866
bg,id,5.392292396604497
lv,id,5.297635963829508
yo,id,5.1744968223659225
nl,id,5.1641175018256655
fr,id,5.1236029290277925
kk,id,5.10949868325945
mk,id,5.087318946895762
br,id,5.085616781137291
sh,id,5.0759516950482535
uk,id,4.882756902099188
da,id,4.725680757258054
be,id,4.698706264831645
it,id,4.633112076981492
lt,id,4.627974383959764
sk,id,4.615757984353212
km,id,4.501421183045751
ca,id,4.2327711092007405
th,id,4.062032755272695
es,id,4.047397067993627
vi,id,4.009821865328031
pt,id,4.000517524454849
mg,id,3.9876806592391225
sv,id,3.967339410693555
an,id,3.9105949639819344
pl,id,3.651445775375851
hu,id,3.5592569112700474
ku,id,3.410062610921458
se,id,3.3799022108555525
no,id,3.2354478847667187
gl,id,3.1057603400738283
tr,id,3.0143704967431293
ga,id,2.9654315002405998
fi,id,2.8821746397374777
sl,id,2.8636022758492863
ta,id,2.829824945603613
hr,id,2.6300259221086755
as,id,2.5744530474658305
si,id,2.3649104399595635
gu,id,2.3644569466050136
mn,id,2.33491195223292
eu,id,2.259617720673968
sr,id,2.209887687953474
bs,id,2.1886027448698657
yi,id,2.017363622384352
hy,id,2.0090315638371443
my,id,2.0052937960442048
eo,id,2.001727181755679
ne,id,1.919547406237879
ar,id,1.919444953580042
ko,id,1.8845602298872064
kn,id,1.8153476970672968
rw,id,1.809136709263766
ml,id,1.8039821984687807
uz,id,1.7972879326851217
fa,id,1.7461342528523407
bn,id,1.7343408370886102
ps,id,1.7210219380161296
hi,id,1.7058837855379472
te,id,1.5168340481339944
xh,id,1.3077005835651707
or,id,1.2682837754151677
tg,id,1.091691686689235
is,id,1.0873473445148356
az,id,0.9872360472713976
pa,id,0.939995400264668
mr,id,0.8346329293196619
am,id,0.5804090603342085
tt,id,0.5636892810074093
ur,id,0.4815405544535274
ja,id,0.4470136685558208
ha,id,0.2803303617945265
ug,id,0.2070402677193966
ka,id,0.1219614728272111
gd,it,56.16271488250661
it,it,34.78694460229419
ig,it,17.884307238908235
tk,it,16.988737504385508
de,it,13.20495983638701
zu,it,12.349263951338296
mt,it,9.299050137186038
ro,it,8.897722862022873
et,it,8.60571700380464
cs,it,8.39516241201711
gu,it,8.168276360505706
nb,it,8.128321162858397
as,it,7.814562630749564
af,it,7.793695741701976
li,it,7.471870925940574
nn,it,7.281791933731701
oc,it,7.062112273578151
fr,it,7.022732670344044
dz,it,6.98232996520527
ca,it,6.917177529136904
fy,it,6.168542233719172
sh,it,6.07166488527235
pt,it,5.904233140188752
ga,it,5.670303366324977
sq,it,5.662373438713879
lv,it,5.614132103178431
an,it,5.503160986031373
vi,it,5.39158387565564
es,it,5.354604390006562
mg,it,5.241715033535026
lt,it,5.15973629592396
yo,it,5.102662844693323
cy,it,5.092881740971196
sk,it,4.923773103755131
id,it,4.756908636446413
ms,it,4.5537231979014825
gl,it,4.427346270176703
se,it,4.132694309821056
nl,it,4.032244097292304
br,it,3.936085404286767
da,it,3.825410476077854
hu,it,3.686017225574689
pa,it,3.624580461856503
kk,it,3.508143843040778
sl,it,3.380495757759824
ne,it,3.318711297217268
sv,it,3.2438944493793227
el,it,3.084889205806484
pl,it,2.999932505816977
rw,it,2.8554058348329336
eo,it,2.703919230560055
ar,it,2.6181487087220536
fi,it,2.590475088194254
xh,it,2.581476056141559
or,it,2.5746489207114784
hr,it,2.564396059560497
tr,it,2.52364557941392
eu,it,2.3334483346306696
ku,it,2.32285199808722
bs,it,2.225376576336869
km,it,2.1826668182169646
no,it,2.1750175996687595
ky,it,2.106609741075228
sr,it,2.097372579364013
yi,it,1.8783920698722056
be,it,1.793260918836773
wa,it,1.7878265700676257
ru,it,1.7552854412496584
zh,it,1.73780608450937
kn,it,1.5436028215998494
mn,it,1.502764804021193
ta,it,1.3896106463346796
mr,it,1.3059376066221386
mk,it,1.227831354230122
ja,it,1.2097722509269937
hi,it,1.1816354293381113
he,it,1.1752610968872617
ps,it,1.1431722597790692
my,it,1.1008587726552228
th,it,1.0303634943740063
is,it,1.0260650965945362
uz,it,0.9959785175459184
te,it,0.9129086187244694
bn,it,0.8943380610746742
bg,it,0.849550197436875
ko,it,0.7550503992003653
ml,it,0.6097556773363813
hy,it,0.6007417484300865
tg,it,0.4859650412075266
fa,it,0.4724062615641684
ur,it,0.4509318075272459
si,it,0.449398053488449
uk,it,0.4156843346064839
az,it,0.3048962905706772
am,it,0.2532361799311524
ka,it,0.1953399171973511
ha,it,0.1491546644420916
ug,it,0.0901552094749302
tt,it,0.0741708613480209
gd,ja,49.79552449363568
tk,ja,15.324839670702069
ja,ja,14.132286495305534
ig,ja,13.01868624511959
de,ja,12.325997382103877
ru,ja,11.948050605174794
zu,ja,10.900620157631634
fy,ja,9.98346032951146
ky,ja,9.97591772581022
be,ja,8.749077908313463
nb,ja,8.59868487678544
cy,ja,8.548705355362166
uk,ja,8.497373413192204
gu,ja,8.482466951221078
th,ja,8.413014226690658
af,ja,8.297783883956372
zh,ja,8.143742206082917
oc,ja,7.661655281318649
el,ja,7.611741981761151
li,ja,7.582200051646798
ro,ja,7.5298275095921055
km,ja,7.467572355804609
kk,ja,7.252892685403697
nn,ja,7.063715263895225
ta,ja,6.942935340887397
te,ja,6.936522063623818
mt,ja,6.831220845257519
ne,ja,6.822033935690468
id,ja,6.779093528041272
et,ja,6.606559458825081
nl,ja,6.5943704441977244
he,ja,6.576130255795854
ko,ja,6.57159648157413
bg,ja,6.410111961375932
as,ja,6.357313357307614
ml,ja,6.211032636257569
mk,ja,6.021073672115474
ms,ja,6.017073215579488
kn,ja,5.787487087974588
cs,ja,5.611374042113131
br,ja,5.5373753671845165
tr,ja,5.384651052459886
hi,ja,5.368129631215061
fr,ja,5.309073028532295
si,ja,5.2624433477230514
sq,ja,5.163369516258334
se,ja,5.16279031543855
mn,ja,5.028481100358239
my,ja,4.962881146191516
it,ja,4.937274626264421
yo,ja,4.707585622501841
sh,ja,4.677859436747262
yi,ja,4.655516882990536
pt,ja,4.531166708748372
wa,ja,4.499542086176949
lv,ja,4.414965083001466
da,ja,4.345263781645466
pa,ja,4.330526238062328
sk,ja,4.314751365693108
es,ja,4.275011969184851
bn,ja,4.145626749233094
ca,ja,4.014796462687412
mr,ja,3.955290675143972
mg,ja,3.943028023310413
an,ja,3.875166654751047
hu,ja,3.8717992670931656
sv,ja,3.783650655785307
lt,ja,3.67746801326796
ps,ja,3.664898869159103
ar,ja,3.5166761695060007
vi,ja,3.4098698468288324
ga,ja,3.319623469027295
hy,ja,3.298781056992254
pl,ja,3.2549252664560813
gl,ja,3.143046481855264
ku,ja,2.8657065816865184
fa,ja,2.7826065887862663
or,ja,2.7155790408276546
hr,ja,2.584003633497235
fi,ja,2.556145053697551
sl,ja,2.5167516104879195
rw,ja,2.323471285266077
ur,ja,2.303749009227892
no,ja,2.2982474330076306
eu,ja,2.1807033114619867
bs,ja,2.134655855663022
